Proveedor,Requisicion,Descripción ,Cantidad_material,Precio_Total,Fecha_compra,Fecha_estimada_entrega,Dias_acordados_entrega,Fecha_entrega,Tiempo_retraso,Status_Cumplimiento
MERCADO LIBRE,2910,SELECTOR 3 POSICIONES MANIJA CORTA,1,$159,2025-07-24 00:00:00,2025-07-25 00:00:00,1,2025-07-24 00:00:00,-1,Cumplio
MOTORSCAN,2619,MANGUERA P/SONDA DE OPACIMETRO SAMPLE PROBE 9010 LARGE D27,2,$70630,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-02 00:00:00,-1,Cumplio
MOTORSCAN,2619,OPACIMETRO MOTORSCAN EUROSMOKE9011,1,$70630,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-02 00:00:00,-1,Cumplio
MOTORSCAN,2619,PIPETA P/OPACIMETRO SAMBLE PROBE 9010 SMALL D10,2,$70630,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-02 00:00:00,-1,Cumplio
MOTORSCAN,2619,SONDA DE TEMPERATURA MOTORSCAN EUROSMOKE,1,$70630,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-02 00:00:00,-1,Cumplio
PEEA (PROVEEDORA DE EQUIPOS ELECTROMECÁNICOS Y AUTOMATIZACIÓN S.A. DE C.V.),2471,VARIADOR GA500 MONOFASICO,5,$9890,2024-05-22 00:00:00,2024-05-23 00:00:00,1,2024-05-22 00:00:00,-1,Cumplio
PIMATIC MEXICO,2670,CILINDRO MAGN. DSNU-20-250-PPV-A,1,$2892,2024-10-11 00:00:00,2024-10-12 00:00:00,1,2025-01-02 00:00:00,82,Retraso
POLIFORMAS PLASTICAS SA. DE CV.,2811,CATALIZADOR PARA CAUCHO TP 20 GR.,2,$683,2025-04-02 00:00:00,2025-04-03 00:00:00,1,2025-04-02 00:00:00,-1,Cumplio
POLIFORMAS PLASTICAS SA. DE CV.,2811,CAUCHO DE SILICON P-48 (CONTENIDO 1 KG),3,$683,2025-04-02 00:00:00,2025-04-03 00:00:00,1,2025-04-02 00:00:00,-1,Cumplio
POLIFORMAS PLASTICAS SA. DE CV.,2811,DILUYENTE SILICON,2,$683,2025-04-02 00:00:00,2025-04-03 00:00:00,1,2025-04-02 00:00:00,-1,Cumplio
POLIFORMAS PLASTICAS SA. DE CV.,2863,CAUCHO DE SILICON P-48 (CONTENIDO 1 KG),1,$415,2025-05-16 00:00:00,2025-05-17 00:00:00,1,2025-05-16 00:00:00,-1,Cumplio
POLIFORMAS PLASTICAS SA. DE CV.,2863,DILUYENTE SILICON,1,$415,2025-05-16 00:00:00,2025-05-17 00:00:00,1,2025-05-16 00:00:00,-1,Cumplio
RODRIGUEZ LOPEZ RODOLFO MARTIN,2451,TUBO DE COBRE  1/2,1,$207,2024-05-09 00:00:00,2024-05-10 00:00:00,1,2024-05-14 00:00:00,4,Retraso
SCHWARZER PRECISION SALES GMBH,2789,BOMBA SP,12,$82254,2025-04-21 00:00:00,2025-04-22 00:00:00,1,2025-04-23 00:00:00,1,Retraso
SCHWARZER PRECISION SALES GMBH,2915,DIAFRAGMA BOMBA SP (REDONDO),75,$16668,2025-07-31 00:00:00,2025-08-01 00:00:00,1,2025-08-12 00:00:00,11,Retraso
SENSORES ELECTRONICOS,2573,CELDAS DE NOX,21,$70760,2024-08-05 00:00:00,2024-08-06 00:00:00,1,2024-08-05 00:00:00,-1,Cumplio
SMC PNEUMATICS,2990,RESTRICTOR 161,50,$1982,2025-10-28 00:00:00,2025-10-29 00:00:00,1,2025-10-28 00:00:00,-1,Cumplio
SWEET WISHES INTERNATIONAL S DE RL DE CV,2546,GUIA CODO 8MM,1000,$3480,2024-08-01 00:00:00,2024-08-02 00:00:00,1,2024-08-01 00:00:00,-1,Cumplio
SYSCOM S.A. DE CV,2845,UPS 2200 VA PR SMART APP SENOIDAL PURA LCD,1,$18213,2025-05-06 00:00:00,2025-05-07 00:00:00,1,2025-05-06 00:00:00,-1,Cumplio
UNIT ELECTRONICS,2398,CONVERTIDOR RS232 TTL DB9,5,$140,2024-03-21 00:00:00,2024-03-22 00:00:00,1,2024-04-03 00:00:00,12,Retraso
VAMAG S.R.L.,2676,OPACIMETRO MOTORSCAN EUROSMOKE9011,1,$61295,2024-11-12 00:00:00,2024-11-13 00:00:00,1,2024-11-13 00:00:00,0,Cumplio
YUEQING AIBEIKEN ELECTRIC,2793,SENSOR DE INDUCCION MAGNETICA LJ18A3-5-Z/CX,58,$5543,2025-04-21 00:00:00,2025-04-22 00:00:00,1,2025-04-23 00:00:00,1,Retraso
YUEQING RIGH PNEUMETIC CO.LTD,2609,FILTRO DE PLASTICO QSL-08,130,$991,2024-08-21 00:00:00,2024-08-22 00:00:00,1,2024-08-21 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2609,PORTA-FILTRO QSL-08,50,$991,2024-08-21 00:00:00,2024-08-22 00:00:00,1,2024-08-21 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2609,RACOR RAPIDO ROSCADO 8MM R1/4,60,$991,2024-08-21 00:00:00,2024-08-22 00:00:00,1,2024-08-21 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2609,RACOR RAPIDO ROSCADO EN L 1/4-8,74,$991,2024-08-21 00:00:00,2024-08-22 00:00:00,1,2024-08-21 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2624,FILTRO DE PLASTICO QSL-08,300,$12776,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-03 00:00:00,0,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2624,PORTA-FILTRO QSL-08,26,$12776,2024-10-02 00:00:00,2024-10-03 00:00:00,1,2024-10-03 00:00:00,0,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2792,DISTRIBUIDOR MULTIPLE 2 VIAS,30,$73705,2025-05-05 00:00:00,2025-05-06 00:00:00,1,2025-05-05 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2792,DISTRIBUIDOR MULTIPLE 3 VIAS,69,$73705,2025-05-05 00:00:00,2025-05-06 00:00:00,1,2025-05-05 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2792,PORTA-FILTRO QSL-08,33,$73705,2025-05-05 00:00:00,2025-05-06 00:00:00,1,2025-05-05 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2792,VALVULA SOLENOIDE 3 VIAS VT307 VX-3GX1-02N-F-X,80,$73705,2025-05-05 00:00:00,2025-05-06 00:00:00,1,2025-05-05 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2792,VALVULAS ANTIRETORNO 6MM STAINLES STEEL 304,50,$73705,2025-05-05 00:00:00,2025-05-06 00:00:00,1,2025-05-05 00:00:00,-1,Cumplio
YUEQING RIGH PNEUMETIC CO.LTD,2792,VALVULAS ANTIRETORNO 8MM STAINLESS ATEEL 304,50,$73705,2025-05-05 00:00:00,2025-05-06 00:00:00,1,2025-05-05 00:00:00,-1,Cumplio
AG ELECTRONICA,2408,BUJE PARA TRANSISTOR TO--3,36,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CAPACITOR CERAMICO 33PF-1000V,34,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CAPACITOR ELECTROLITICO 4700MF 25V,35,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CAPACITOR ELECTROLITICO CE-22/63V-TEAPO,26,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CAPACITOR MONOLÍTICO,1110,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CAPACITOR POLIESTER 0.1UF 250V,53,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CONECTOR CABLE PLANO 16 PINES,40,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CONECTOR CABLE PLANO 20 PINES,42,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CONECTOR HEADER 40 TERMINALES 1 LINEA (TIRA DE PINES),4,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CRISTAL  CUARZO 10MHZ,22,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CRISTAL  CUARZO 2.4576MHZ,26,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,CRISTAL CUARZO MINI 20 MHZ.,17,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,DB9 HEMBRA C.I.,25,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,DIODO ZENER 1N4731A 1W,31,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,DIODO ZENER 5V 1/2W,73,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,OPTOACOPLADOR NPN 4N30,202,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,PUENTE RECTIFICADOR 800V,32,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,PUENTE RECTIFICADOR EN LINEA 200V 4A,13,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,REGISTRO DE CORRIMIENTO 8 BIT  HD74LS164P,42,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,REGULADOR VOLTAJE 10V,30,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,TIRA DE PINES DOBLES,31,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,TRANSISTOR A564A;,264,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,TRIAC POTENCIA 40 AMP,32,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,TRIMPOT CUADRADO DE 20 VUELTAS 100E,31,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2408,TRIMPOT RECTANGULAR 15 VUELTAS 2K SUNTAN,20,$6029,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,AMPLIFICADOR LM324N,25,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,AMPLIFICADOR TL084CN,18,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,HEX INVERSOR SCHMITT TRIGGER SN74LS14N,48,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,LED DIP 3MM ROJO DIFUSO,110,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,LED DIP 5MM VERDE SUPER BRILLANTE 10000-12000MCD,46,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,MICA  P/TRANSISTOR TO-3P,30,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,MICROCONTROLADOR PIC16F88-I/P,24,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,OCTAL TRANCEPTOR DE BUS SN74LS245N,26,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,OPTOACOPLADOR  CON SALIDA TRIAC MOC3011M,19,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,OPTOACOPLADOR SALIDA TRIAC CRUCE 0   MOC 3063M,145,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,PUENTE DIODOS 2AMP,89,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,REGULADOR DE VOLTAJE LM317T,19,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,RELEVADOR 5V 1P2T,20,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,RESISTENCIA 2.7K SURFACE,25,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,RESISTENCIA DE CARBON 68KOHMS 1W,57,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,RESISTENCIA PRESICION 499OHM,46,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,RESISTENCIA RC-1K51/2,190,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,SENSOR DE TEMPERATURA LM35DZ,81,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,TRANSFORMADOR P /FUENTE 12V/1.2A TAP CENTRAL,17,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
AG ELECTRONICA,2409,TRANSISTOR NPN,41,$7322,2024-04-04 00:00:00,2024-04-06 00:00:00,2,2024-04-04 00:00:00,-2,Cumplio
DISIME S.A. DE C.V.,2866,INTERFACE WEATHER ENVOY INALAMBRICO ( P/EST. MET. ),1,$8236,2025-05-21 00:00:00,2025-05-23 00:00:00,2,2025-05-21 00:00:00,-2,Cumplio
MERCADO LIBRE,2584,CABLE HDMI 10 METROS FULL HD 1080P,10,$906,2024-08-08 00:00:00,2024-08-10 00:00:00,2,2024-08-09 00:00:00,-1,Cumplio
MERCADO LIBRE,2878,CABLE HDMI 10 METROS FULL HD 1080P,5,$456,2025-06-11 00:00:00,2025-06-13 00:00:00,2,2025-06-17 00:00:00,4,Retraso
POLIFORMAS PLASTICAS SA. DE CV.,2989,CAUCHO DE SILICON P-48 (CONTENIDO 1 KG),1,$414,2025-10-07 00:00:00,2025-10-09 00:00:00,2,2025-10-28 00:00:00,19,Retraso
POLIFORMAS PLASTICAS SA. DE CV.,2989,DILUYENTE SILICON,1,$414,2025-10-07 00:00:00,2025-10-09 00:00:00,2,2025-10-28 00:00:00,19,Retraso
UNIT ELECTRONICS,2909,INDICADOR DE LUZ VERDE/ROJO/AMARILLO 12V - AMARILLO (AD16-22D),1,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
UNIT ELECTRONICS,2909,INDICADOR DE LUZ VERDE/ROJO/AMARILLO 12V - ROJO (AD16-22D),1,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
UNIT ELECTRONICS,2909,INDICADOR DE LUZ VERDE/ROJO/AMARILLO 12V - VERDE (AD16-22D),1,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
UNIT ELECTRONICS,2909,PLACA DE AISLAMIENTO DE VOLTAJE 1 A 8 CANALES - 2 CANALES (PC817),2,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
UNIT ELECTRONICS,2909,PLACA DE EXPANSIÓN PARA ESP32 38 PINES,1,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
UNIT ELECTRONICS,2909,RELEVADOR 5V DE 1 A 8 CANALES - 4 CANALES,2,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
UNIT ELECTRONICS,2909,SENSOR ULTRASONIDO DYP-A01-V2.0 / DYP-A19-V1.0 A PRUEBA DE AGUA- DYP-A01-V2.0,1,$983,2025-07-24 00:00:00,2025-07-26 00:00:00,2,2025-07-24 00:00:00,-2,Cumplio
AG ELECTRONICA,2669,BASE PARA CIRCUITO INTEGRADO 40 VIAS,22,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,CAPACITOR ELECTROLITICO 10/63V,43,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,CAPACITOR ELECTROLITICO 1MF 63V,37,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,CAPACITOR ELECTROLITICO 220UF,37,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,CAPACITOR MONOLÍTICO,300,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,DISIPADOR DE CALOR TO-220,5,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,REGULADOR DE VOLTAJE 7809,10,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
AG ELECTRONICA,2669,RESISTENCIA R1K 1/2W,391,$1266,2024-10-15 00:00:00,2024-10-18 00:00:00,3,2024-10-15 00:00:00,-3,Cumplio
CALOR Y CONTROL ELÉCTRICO INDUSTRIAL,2937,"RECEPTACULO LEVITON PARA TABLERO MEDIA VUELTA 2P, 3H",2,$580,2025-08-14 00:00:00,2025-08-17 00:00:00,3,2025-08-20 00:00:00,3,Retraso
DISTRIBUIDORA ACRIPLAS SA DE CV,2809,ACRILICO HUMO BRONCE 3MM 107X53.5CM,1,$389,2025-04-01 00:00:00,2025-04-04 00:00:00,3,2025-04-01 00:00:00,-3,Cumplio
EMPACK DE MEXICO S.A DE C.V,2554,CAJA RM-331 (ACCESORIOS OPACIMETRO),16,$1006,2024-07-23 00:00:00,2024-07-26 00:00:00,3,2024-07-24 00:00:00,-2,Cumplio
EMPACK DE MEXICO S.A DE C.V,2554,CAJA RM-52,16,$1006,2024-07-23 00:00:00,2024-07-26 00:00:00,3,2024-07-24 00:00:00,-2,Cumplio
"EXEL DEL NORTE, S.A.P.I. DE C.V.",2756,REGULADOR DE VOLTAJE KOBLENZ ER-2550 2500VA/2000W,2,$2179,2025-02-20 00:00:00,2025-02-23 00:00:00,3,2025-02-20 00:00:00,-3,Cumplio
FIX FERRETERIAS,2867,ORGANIZADOR CON 64 GAVETAS. TRUPER,1,$625,2025-05-21 00:00:00,2025-05-24 00:00:00,3,2025-05-27 00:00:00,3,Retraso
"INTCOMEX, S. A. DE C.V.",2385,TECLADO LOGITECH G413,2,$2540,2024-03-13 00:00:00,2024-03-16 00:00:00,3,2024-03-13 00:00:00,-3,Cumplio
"INTCOMEX, S. A. DE C.V.",2621,COMPUTADORA  DELL I5,1,$12509,2024-09-05 00:00:00,2024-09-08 00:00:00,3,2024-09-09 00:00:00,1,Retraso
"INTCOMEX, S. A. DE C.V.",2779,COMP. DELL OPTIPLEX 7020 SFF I5 12500 8G 512GB SSD,1,$14170,2025-03-12 00:00:00,2025-03-15 00:00:00,3,2025-03-12 00:00:00,-3,Cumplio
JOSÉ ALFONSO ECHEVARRI,2997,FILTRO DE PAPEL MACRO,600,$116545,2025-10-22 00:00:00,2025-10-25 00:00:00,3,2025-10-22 00:00:00,-3,Cumplio
JOSÉ ALFONSO ECHEVARRI,2997,FILTRO IN LINE,250,$116545,2025-10-22 00:00:00,2025-10-25 00:00:00,3,2025-10-22 00:00:00,-3,Cumplio
JOSÉ ALFONSO ECHEVARRI,2997,FILTRO MALLA,270,$116545,2025-10-22 00:00:00,2025-10-25 00:00:00,3,2025-10-22 00:00:00,-3,Cumplio
"KNOVA, S.A. DE C.V.",2498,ROTOMARTILLO 7.5A,2,$2980,2024-06-04 00:00:00,2024-06-07 00:00:00,3,2024-06-06 00:00:00,-1,Cumplio
"KNOVA, S.A. DE C.V.",2498,ROTOMARTILLO 7.5A,3,$2980,2024-06-04 00:00:00,2024-06-07 00:00:00,3,2024-06-15 00:00:00,8,Retraso
"KNOVA, S.A. DE C.V.",2525,DADOS MACHUELO Y TARRAJAS 40 PZAS.,1,$2420,2024-06-24 00:00:00,2024-06-27 00:00:00,3,2024-06-26 00:00:00,-1,Cumplio
"KNOVA, S.A. DE C.V.",2525,ROTOMARTILLO 7.5A,4,$2420,2024-06-24 00:00:00,2024-06-27 00:00:00,3,2024-06-25 00:00:00,-2,Cumplio
MERCADO LIBRE,2538,TIRA DE  LED 3528 ROLLO 5M RECORTABLE 300 HIPER LEDS EXT. F1 ROJO,9,$702,2024-07-09 00:00:00,2024-07-12 00:00:00,3,2024-07-10 00:00:00,-2,Cumplio
MERCADO LIBRE,2824,CABLE HDMI 10 METROS FULL HD 1080P,12,$998,2025-04-10 00:00:00,2025-04-13 00:00:00,3,2025-04-11 00:00:00,-2,Cumplio
MERCADO LIBRE,2979,CABLE HDMI 10 METROS FULL HD 1080P,5,$440,2025-10-08 00:00:00,2025-10-11 00:00:00,3,2025-10-09 00:00:00,-2,Cumplio
MERCADO LIBRE,2996,BOMBA DE VACIO MANUAL FRENOS PURGADOR MANOMETRO KIT AUTO MOTO,2,$477,2025-10-22 00:00:00,2025-10-25 00:00:00,3,2025-10-23 00:00:00,-2,Cumplio
"MISTER TORNILLO, S. A. DE C.V.",2411,BROCA ESCALONADA DE 3/16 A 7/8,3,$615,2024-04-04 00:00:00,2024-04-07 00:00:00,3,2024-04-10 00:00:00,3,Retraso
"MISTER TORNILLO, S. A. DE C.V.",2528,REMACHADORA PROFESIONAL,2,$774,2024-06-27 00:00:00,2024-06-30 00:00:00,3,2024-07-01 00:00:00,1,Retraso
"MISTER TORNILLO, S. A. DE C.V.",2528,REMACHE,217,$774,2024-06-27 00:00:00,2024-06-30 00:00:00,3,2024-07-01 00:00:00,1,Retraso
